requested_density,priority_scenario,treatment_mode,controller_fraction,pairs,priority_speed_delta_mean,priority_speed_delta_ci95_low,priority_speed_delta_ci95_high,worst_priority_speed_delta_mean,worst_priority_speed_delta_ci95_low,worst_priority_speed_delta_ci95_high,background_flow_ratio_mean,background_flow_loss_mean,sufficient_pairs,pv_improvement_significant,background_flow_acceptable,effective_region
0.2,two-g,baseline2_matched_0.050,0.05,10,0.009925000000000139,-0.018624999999999805,0.03882500000000007,0.02059999999999995,-0.013700000000000047,0.05404999999999997,0.9980716113765504,0.0019283886234495728,True,False,True,False
0.2,two-g,baseline2_matched_0.200,0.2,10,0.08824999999999994,0.05952374999999984,0.11420062499999999,0.09029999999999991,0.0621999999999999,0.1188499999999999,0.99662963510623,0.0033703648937699615,True,True,True,True
0.2,two-g,baseline2_matched_0.350,0.35,10,0.15759999999999996,0.12994937499999992,0.18222500000000003,0.16540000000000007,0.13724999999999996,0.1893000000000001,0.9967237438158429,0.003276256184157056,True,True,True,True
0.2,two-g,baseline2_matched_0.500,0.5,10,0.23884999999999995,0.20924874999999987,0.26612625,0.24029999999999996,0.21054999999999985,0.27020000000000005,0.9952350138412301,0.004764986158769857,True,True,True,True
0.2,two-g,baseline2_matched_0.650,0.65,10,0.35895,0.332625,0.3838250000000002,0.3633,0.33529999999999993,0.39064999999999994,0.9932585247382175,0.006741475261782481,True,True,True,True
0.2,two-g,baseline2_matched_0.800,0.8,10,0.5105,0.4732993749999998,0.5447500000000002,0.5171,0.4795474999999999,0.5504499999999999,0.9908120349384774,0.00918796506152264,True,True,True,True
0.2,two-g,baseline2_matched_0.950,0.95,10,0.8310000000000001,0.8003,0.8637012500000002,0.82865,0.79324875,0.8662499999999997,0.9888307083831762,0.011169291616823784,True,True,True,True
0.25,one,baseline2_all_hdv_yield,1.0,10,1.1652,1.1059987500000004,1.21690125,1.1652,1.1084500000000002,1.2168024999999998,0.9912896507952986,0.008710349204701373,True,True,True,True
0.25,one,baseline2_matched_0.050,0.05,10,0.0041499999999999645,-0.017150000000000176,0.024350000000000094,0.0041499999999999645,-0.017000000000000036,0.023999999999999976,0.9985799372543989,0.001420062745601136,True,False,True,False
0.25,one,baseline2_matched_0.200,0.2,10,0.08254999999999994,0.04674999999999998,0.11954999999999986,0.08254999999999994,0.04654999999999983,0.11975124999999996,0.9989229970130632,0.0010770029869368036,True,True,True,True
0.25,one,baseline2_matched_0.350,0.35,10,0.23319999999999994,0.20044874999999995,0.26725124999999994,0.23319999999999994,0.20099875,0.26650124999999986,0.9979548471661218,0.0020451528338781833,True,True,True,True
0.25,one,baseline2_matched_0.500,0.5,10,0.3014,0.27434875,0.3293499999999999,0.3014,0.27425000000000005,0.32949999999999996,0.9974430368534991,0.00255696314650089,True,True,True,True
0.25,one,baseline2_matched_0.650,0.65,10,0.4222999999999999,0.3967987499999999,0.44914999999999994,0.4222999999999999,0.3968999999999999,0.44939999999999997,0.9958820679569543,0.004117932043045669,True,True,True,True
0.25,one,baseline2_matched_0.800,0.8,10,0.55995,0.52619875,0.6042512500000001,0.55995,0.5262462499999999,0.6039525,0.9956893032999767,0.004310696700023264,True,True,True,True
0.25,one,baseline2_matched_0.950,0.95,10,0.8677999999999999,0.8320000000000001,0.9021999999999999,0.8677999999999999,0.83255,0.9013499999999999,0.9937454471731071,0.006254552826892912,True,True,True,True
0.25,two-2g,baseline2_all_hdv_yield,1.0,10,1.091125,1.0333993750000001,1.1393262499999999,1.08815,1.03305,1.13540125,0.9864275673774558,0.01357243262254415,True,True,True,True
